,ID,Job tenure,Age,Car price,Funding amount,Default (y)
2291,2292,30,56,12700,2792,0
2996,2997,7,47,7500,6551,1
3071,3072,16,79,12950,7972,0
6299,6300,2,54,11532,11532,0
6214,6215,18,51,5364,6160,0
1912,1913,12,76,16490,6990,0
7247,7248,5,62,5200,5624,0
2586,2587,22,77,11800,3800,0
1047,1048,0,50,7990,5827,0
3929,3930,12,47,13500,9800,0
7079,7080,7,29,5990,7196,0
5086,5087,27,51,20467,8000,0
3148,3149,25,53,3700,3758,0
1870,1871,15,75,6660,6660,1
3971,3972,26,59,15500,15500,0
2481,2482,23,51,10980,6412,0
5928,5929,6,68,2948,3088,0
4086,4087,5,70,15740,11004,0
351,352,14,31,8950,10206,0
1672,1673,23,57,13500,13500,0
4575,4576,24,61,20149,5264,0
7087,7088,0,61,6500,6500,0
5014,5015,34,51,3075,3075,0
1335,1336,18,44,6300,6884,0
6062,6063,26,54,13300,14149,0
3080,3081,35,61,7439,8056,0
4965,4966,9,31,6795,7429,0
198,199,13,48,10360,10094,0
4623,4624,13,52,10490,7490,0
6598,6599,16,76,8630,9162,0
4919,4920,9,55,10990,5166,0
7264,7265,23,83,6420,6420,1
1317,1318,12,71,5000,5205,0
3159,3160,14,42,9200,10330,0
1786,1787,29,54,4264,4535,0
6433,6434,0,59,10050,9164,1
4950,4951,7,50,6269,6877,0
2627,2628,5,36,3612,3907,0
6878,6879,5,51,14390,7890,0
4525,4526,20,80,6862,6862,0
2020,2021,7,81,7590,7590,1
4028,4029,2,65,10895,11455,0
1669,1670,23,54,17990,10990,0
2850,2851,22,54,11591,12649,0
6827,6828,7,39,12100,6200,0
1606,1607,5,42,7430,8596,0
3494,3495,37,58,4450,4711,0
6003,6004,25,50,14990,3710,0
2954,2955,0,32,4045,4468,0
230,231,2,65,7500,7499,0
4159,4160,0,39,5500,5886,0
2934,2935,29,57,4940,5171,0
7227,7228,32,62,3629,3629,0
6606,6607,4,68,4342,3342,0
1632,1633,5,36,6900,7831,0
2676,2677,4,66,10940,5158,1
233,234,0,27,3546,3809,1
420,421,5,41,7990,8908,1
4393,4394,10,29,8500,6059,0
435,436,31,47,11400,5400,0
48,49,3,61,9710,9220,0
6185,6186,0,49,10750,9362,0
5144,5145,1,50,4990,3211,0
5331,5332,28,57,14990,9678,0
2963,2964,4,47,5250,6161,1
5094,5095,27,49,16500,11500,0
604,605,28,59,6475,6475,1
3601,3602,8,67,10100,10501,0
4915,4916,10,63,11900,11900,0
6888,6889,3,50,10000,9799,0
172,173,6,58,11950,12709,0
5965,5966,40,57,10500,5500,0
5686,5687,23,58,8870,9000,0
3333,3334,1,43,6000,2693,1
6815,6816,2,51,6500,2500,0
3206,3207,4,57,9000,9000,0
199,200,5,50,10338,11242,0
3377,3378,31,54,13970,15159,0
4125,4126,22,63,16650,15804,0
6538,6539,1,28,2950,1900,0
6341,6342,3,67,7233,7233,1
7139,7140,7,40,8675,9425,0
4004,4005,36,58,17165,6855,0
5156,5157,21,43,10780,6683,0
378,379,0,56,5648,5648,0
1038,1039,3,41,7890,8958,0
549,550,1,29,5850,6090,0
5166,5167,32,57,5389,3783,0
4758,4759,21,57,5490,5607,1
911,912,19,81,6995,6995,0
3849,3850,15,48,10000,11271,0
452,453,38,60,5534,5534,0
6289,6290,1,34,4900,5424,0
5395,5396,34,51,14990,4490,0
7140,7141,8,68,14400,14400,0
1383,1384,10,59,6795,7154,0
1084,1085,0,63,14500,3400,0
1128,1129,2,28,7200,7200,0
1352,1353,12,44,10985,7774,0
4733,4734,13,49,5924,6368,0
5700,5701,1,26,5990,5649,0
2764,2765,7,56,2373,2373,0
2229,2230,1,60,8990,9650,1
6193,6194,4,51,3810,4211,0
3143,3144,6,56,5037,5037,0
3221,3222,19,78,13950,9895,0
4974,4975,23,88,4000,4000,0
6318,6319,1,23,3888,4216,0
415,416,17,48,8000,3273,0
710,711,7,40,6490,7315,1
1893,1894,20,66,13385,9485,0
601,602,16,79,10489,8104,0
6520,6521,4,67,8575,7662,0
558,559,1,58,9490,8490,0
290,291,3,48,9950,10533,0
3605,3606,40,63,13488,13488,1
5473,5474,13,49,10980,10980,0
6971,6972,3,42,5990,5647,0
7380,7381,24,62,9000,4462,0
3745,3746,11,52,12838,10953,0
5835,5836,6,59,7500,7991,0
3592,3593,10,68,9990,10482,0
1049,1050,6,72,11700,7300,0
1420,1421,1,52,3750,2750,0
4962,4963,8,28,5450,6120,0
3914,3915,15,53,9192,9192,0
3620,3621,6,34,6190,6720,1
5516,5517,25,46,13500,15118,0
5102,5103,1,57,9600,4600,0
5492,5493,7,41,3500,3000,0
6757,6758,24,57,10881,10881,0
3688,3689,6,51,10205,10205,0
6429,6430,21,57,3486,3682,1
6274,6275,22,62,9790,5480,0
6248,6249,4,41,9150,10313,0
3980,3981,1,32,6598,1598,0
2952,2953,2,67,8980,8980,0
960,961,21,54,12628,14237,0
1844,1845,16,47,9985,10859,0
3801,3802,13,65,6100,6490,0
2164,2165,20,45,7990,8318,0
4825,4826,1,51,6300,7200,0
4239,4240,10,74,8999,6599,0
265,266,16,54,11990,6847,0
1039,1040,28,49,4800,5470,1
773,774,17,77,5190,5150,0
6081,6082,3,64,15115,8527,0
3528,3529,14,32,6390,3637,0
7029,7030,1,29,3798,1911,0
1728,1729,7,66,9659,9758,1
3893,3894,19,44,9380,10116,0
4338,4339,41,59,13250,14102,0
4332,4333,2,54,6500,2400,0
