,Job tenure,Age,Car price,Default (y)
6144,7,72,6900,1
2251,5,27,23999,1
2178,10,63,19890,1
4988,1,38,31000,1
945,7,59,32875,1
322,7,57,15990,1
6152,3,26,14990,1
3422,5,29,19293,1
4706,2,39,13701,1
4556,9,29,7990,1
2087,21,77,7600,1
779,11,74,10496,1
2628,9,39,10450,1
6429,21,57,3486,1
1850,0,19,8700,0
4829,19,59,13990,1
3513,3,27,11200,1
2876,0,38,19990,1
7264,23,83,6420,1
4250,1,20,13000,0
7002,5,35,5500,1
3433,4,48,13680,1
4222,1,24,17970,1
3686,2,20,27500,1
5676,1,58,9900,1
2973,28,50,16490,1
3045,15,55,7890,1
7185,0,18,5690,0
6549,5,31,7790,1
746,1,23,24890,1
5058,45,62,7500,1
1233,1,42,4990,1
4102,14,78,12100,1
6404,0,24,7800,1
5831,3,38,11480,1
3026,3,19,18900,1
5680,0,20,20000,1
5407,15,55,14890,1
5340,10,27,25858,1
3859,0,23,3200,1
5769,7,24,25600,0
4663,2,21,24000,1
4606,1,21,10800,1
5251,7,29,4300,1
5366,7,47,7860,0
7313,4,52,17490,1
7246,1,22,5823,1
3240,10,48,18990,1
1397,21,45,15490,1
451,1,27,11984,1
893,0,35,10470,1
3409,1,32,13495,1
3611,1,49,32000,1
2229,1,60,8990,1
5039,1,18,21990,1
4669,3,53,12599,1
6983,1,27,9980,1
6961,3,38,15190,1
1839,1,21,21690,1
5862,8,71,15980,1
5662,1,38,7990,1
3235,18,50,22680,1
5810,9,45,8350,1
3258,1,37,13890,1
842,0,28,9500,1
2101,5,43,26990,1
3822,21,80,10500,1
1328,0,18,10990,1
6060,1,25,10900,1
5840,4,37,17000,1
6945,1,19,4400,0
3882,3,31,11370,1
3731,18,56,6990,1
7013,3,68,17950,1
2215,3,20,24377,1
2579,4,20,8566,0
2364,7,27,25000,0
503,14,77,10046,1
6687,1,29,8626,1
7107,1,46,16410,1
5452,5,65,3990,1
3689,11,75,18300,1
3715,6,33,13659,1
527,0,46,8990,1
1945,2,20,7990,0
5812,1,21,21990,0
3997,9,51,4990,1
1461,31,51,7950,1
5165,1,20,8700,0
4025,3,52,13490,1
6282,18,43,19990,1
3055,0,18,6690,1
3025,22,43,26014,1
2350,0,34,5900,1
219,0,19,13000,0
6451,4,23,12035,1
1870,15,75,6660,1
7106,0,27,11990,1
4236,0,21,8900,1
859,3,50,13450,1
1379,2,19,16500,1
5635,1,23,5666,1
6371,2,24,23900,0
4446,1,41,25900,0
5303,2,60,18000,1
6476,0,49,14900,1
3742,2,38,8500,1
233,0,27,3546,1
4038,2,63,13990,1
7364,9,46,5712,1
5841,2,19,11853,0
1088,0,42,22000,1
4154,0,31,17303,1
6162,1,24,7900,1
1104,0,33,30069,0
4335,0,23,12950,1
1419,1,34,12890,1
1030,0,18,9900,1
4370,1,24,7990,1
5400,13,82,13480,1
4838,2,20,21990,1
1897,8,73,12650,1
6666,1,21,11750,1
4672,0,22,3895,1
4758,21,57,5490,1
6243,0,52,29500,0
4830,5,29,16990,1
1406,1,18,10990,1
5584,0,20,11313,0
6091,0,29,11800,1
5114,0,32,7165,1
5939,0,20,10120,0
3418,4,22,7995,1
3119,0,32,29990,1
2715,1,24,13490,1
2598,1,18,11690,1
2843,6,40,11900,1
259,0,26,5019,1
7058,8,39,12990,1
1620,4,21,8890,1
3121,17,45,13794,1
3721,0,56,13300,1
5974,4,29,10585,1
1891,3,19,27290,1
86,2,66,9500,1
2107,0,23,10990,1
3165,36,61,13000,1
5889,1,38,2500,1
5576,0,29,23000,0
2728,0,29,10980,1
6680,1,21,22995,1
1961,0,22,5990,1
4836,11,47,26797,1
1039,28,49,4800,1
1263,3,20,6960,1
1464,0,43,10990,1
2588,2,45,26159,0
4970,1,28,14351,1
4438,1,46,25590,0
1055,3,58,5628,1
3908,0,22,10333,1
437,4,27,8990,1
1309,1,26,18980,1
7074,0,32,7390,1
1005,5,32,8450,1
6230,1,27,11984,1
509,0,21,13590,1
1544,1,26,5675,1
5707,1,23,28400,0
2804,0,20,12300,0
2977,3,29,24900,0
3909,0,39,20900,1
175,4,26,11650,1
2505,3,61,24990,0
757,1,26,16790,1
324,2,38,11480,1
1210,0,18,10078,1
4385,4,21,10900,1
205,1,37,18490,1
7284,2,20,16877,1
1962,0,19,6780,0
2209,1,29,14400,1
5824,1,18,24990,1
4705,0,22,8900,1
7338,2,26,13990,1
745,4,31,13990,1
5385,0,22,10900,1
5668,1,20,15334,0
1272,8,25,7652,1
7145,1,25,12900,1
3426,0,49,26450,0
551,0,19,8999,1
1057,5,64,5199,1
3169,26,56,13050,1
6250,2,22,19085,0
4928,2,34,8700,1
2077,2,33,16139,1
1565,25,52,8590,1
371,2,22,26480,1
3722,14,67,12030,1
6480,25,50,13600,1
883,2,19,12700,0
3979,1,24,14050,1
2580,1,27,9900,1
1552,1,33,8450,1
2864,0,20,22990,1
1752,35,52,14990,1
1142,5,35,10105,1
6768,1,33,5490,1
4423,1,33,4990,1
1769,0,30,29790,1
1872,4,55,11343,1
4738,0,64,4500,1
3934,0,32,12490,1
4685,2,20,27490,0
3671,0,32,24600,1
2486,0,20,10890,1
1244,0,36,15990,1
6836,0,27,18400,1
5876,23,41,6490,1
1354,48,64,7955,1
3607,0,22,25500,1
1657,4,22,9490,1
4952,7,47,18490,1
1978,3,21,23000,1
6973,3,23,17950,1
3008,6,57,7790,0
7026,4,66,25950,0
6618,10,26,4554,1
1618,0,43,12600,1
680,1,46,13500,1
3383,2,26,14950,1
2742,24,61,7795,1
5464,8,30,16990,1
2929,2,21,27000,1
217,1,64,22610,1
289,3,27,13590,1
1385,3,25,11290,1
6411,1,25,6190,1
2949,1,54,8800,1
4275,24,54,18789,1
940,12,54,5480,1
5458,4,53,11000,1
3821,2,63,13510,1
3800,0,38,25390,0
2366,1,31,22950,1
5106,1,19,15950,1
5491,11,39,15958,1
4024,0,36,18900,1
6539,1,38,8000,1
446,4,51,25290,0
2488,2,45,11990,1
5404,3,25,18000,1
2083,14,46,27950,1
5270,2,52,17800,1
3412,6,36,7999,1
4700,23,52,3757,1
6312,2,44,12990,1
4198,1,25,20000,1
5822,16,72,14500,1
2615,0,41,14500,1
4674,2,18,20890,0
4081,0,20,21600,0
6272,1,42,7310,1
2259,15,56,14390,1
6722,4,32,22777,1
620,4,52,4781,1
5362,3,22,18990,1
4660,0,25,9281,1
7186,2,49,19990,1
2944,0,20,10990,1
4394,2,35,9780,1
6552,3,37,8650,1
6141,20,65,26495,1
5845,7,29,7500,1
6020,1,54,33485,0
4030,1,23,8990,1
2483,4,42,9990,1
3479,1,46,10000,1
4099,1,47,6100,1
4305,1,64,13994,1
7255,1,36,23490,0
4977,6,65,12900,1
5737,0,39,19500,1
5912,2,23,18900,1
1745,7,58,7731,0
6249,6,25,7671,0
4898,4,33,10000,1
4347,0,26,5990,1
5046,0,37,9945,1
6830,1,18,13690,0
3682,0,23,7749,1
7269,15,64,7890,1
4019,0,37,16500,1
2176,1,28,11000,1
1117,22,59,13900,1
49,0,30,7480,1
534,4,68,6600,1
691,13,77,6500,1
7163,16,53,8990,1
4299,0,20,27980,0
2117,26,62,8239,1
6507,5,32,13800,1
2996,7,47,7500,1
811,1,30,8490,1
5679,9,48,15340,1
4947,11,44,14185,1
7299,4,45,16660,1
567,4,47,6594,1
109,2,23,17990,1
2446,15,47,22500,1
577,2,25,27839,1
2002,3,31,26490,0
1754,0,33,9890,1
1705,0,20,26000,1
1780,5,22,15370,1
4844,1,55,28980,0
82,4,37,28854,1
3771,16,71,14590,1
1513,3,20,11900,0
