,Benchmark,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes,Dependents_0,Dependents_1
602,0.33561505002790415,0.21671744929256737,-0.013245931599432579,-0.02007265591189183,0.006300383047855253,0.17936249612311453,-0.000470178350419064,0.0020848124681653924,0.001097987888255436
55,0.3661003317990299,0.04343942993938495,0.06376774102066095,0.118339180247504,0.011825414339858143,0.15525839355824791,0.010216291351511654,0.0030087691616107787,0.005194993841682309
271,0.32720079034182875,0.1205227691046012,0.0021632678490383483,0.056090631663960944,0.007924606098069477,0.19139297461202984,0.014304246975081258,-0.010457449118288645,0.004952588992577765
211,0.7491029323516586,0.1169536464785084,-0.030302606473929027,0.1943717596177005,0.010631944418106524,0.5412646185364596,0.0071325286900045795,0.004999425691215618,0.013164403474676893
492,0.33404383853780606,0.10141598955495436,-0.004131974017734924,0.11629332353471636,0.010175472873903009,0.18212793551779544,-0.007238893111172211,-0.004642767952672952,0.005627852938333179
432,0.3146309974242125,0.16095005642026924,0.030013170216545013,0.03536733843712633,0.006625423232915174,0.18108965567012814,-0.021127314320672514,-0.015446335656364272,0.004352245930369329
460,0.338863615998844,0.03526942253311935,0.13520033992879396,0.04968428932267856,0.015772322581779127,0.1506728898050135,0.009759050375007284,0.003825782572473398,0.01082916477864176
467,0.3610429566058971,0.14655281028883185,-0.006513018862250996,0.07404444578841127,0.007806037991489043,0.16660237128575264,0.013666049818999337,-0.0024832298749772035,0.005135569117731366
180,0.768045955284265,0.16081060377642287,0.04611683151104678,0.01057827134169658,0.010504682384967955,0.534416498174161,-0.0013321512520444898,0.0015679418052425293,0.04957486871265119
126,0.30370379753933796,0.11421892652733452,0.026243140068945882,0.05153236797760763,0.012375806195738082,0.17208426517416806,0.01859910106302507,0.024239034182539664,0.011953984972283739
243,0.35619101753080135,0.00027139184712081144,0.10132321445577935,0.08404523777692997,0.008086894232157783,0.1785903758888616,0.013142777441710782,0.007498337969793059,0.0037425041303277957
331,0.3353963023532619,0.08061670538811178,-0.024829321385392948,0.13894286851540508,0.012615670036998226,0.18544103312024898,-0.014072192025108517,-0.0015328779851791767,0.002840392729834986
230,0.3636018128522733,0.07096009025015701,0.06756063562979175,0.10577306108628749,0.013799518480612387,0.15117864612182325,0.014243316496574263,0.004346856047697143,-0.005425535418025845
59,0.3273791194397789,0.02803956103334149,0.08470532198977153,0.0698832629729821,0.011352094109524159,0.1821951505086333,0.009329185856195295,0.004043767258234742,0.008555469567263264
