,Job tenure,Age,Car price,Funding amount,Default (y)
6152,3,26,14990,16431,1
195,0,44,11389,13738,0
6185,0,49,10750,9362,0
3422,5,29,19293,23164,1
4706,2,39,13701,14958,1
199,5,50,10338,11242,0
6100,3,49,5704,5704,0
5160,6,25,19280,18608,0
3014,1,58,9080,9775,0
4556,9,29,7990,8183,1
3091,0,50,3990,4454,0
1297,0,31,12400,12400,0
2941,5,55,8550,5422,0
1174,1,35,9500,8800,0
3077,9,61,7700,8098,0
1195,6,73,12500,12500,0
6623,1,26,8890,8260,0
4148,0,44,11140,11140,0
2628,9,39,10450,11636,1
6963,2,39,7625,8189,0
4920,0,40,15990,15990,0
1850,0,19,8700,8200,0
4645,2,51,14365,11773,0
2224,4,41,7950,5262,0
2753,4,41,7300,7831,0
4949,1,32,10040,10040,0
3064,5,22,20000,18334,0
868,4,29,5480,3906,0
2249,5,50,9900,9673,0
3513,3,27,11200,11200,1
2876,0,38,19990,22738,1
6187,0,39,5990,6681,0
6357,2,44,4990,4052,0
4942,3,27,19015,21407,0
6077,4,58,11504,12041,0
6778,7,66,11950,10900,0
4250,1,20,13000,13533,0
7002,5,35,5500,6175,1
6477,3,44,9970,10120,0
2227,7,54,5031,5031,0
3433,4,48,13680,13691,1
4222,1,24,17970,21228,1
3686,2,20,27500,27000,1
5676,1,58,9900,10619,1
3396,1,26,8600,9305,0
5330,5,56,15695,16911,0
5272,5,69,1501,1501,0
326,8,50,6930,5430,0
4532,4,64,12990,12198,0
5617,9,57,3260,3587,0
5597,4,48,14990,14890,0
1520,0,51,10750,10866,0
5259,6,53,6298,6782,0
6899,8,73,4190,4190,0
5337,3,23,6480,7055,0
5100,6,35,17350,17500,1
801,9,49,6479,6883,0
7185,0,18,5690,3090,0
907,1,52,11500,11500,0
2431,4,23,17090,18688,0
6549,5,31,7790,9061,1
1557,0,22,3870,3455,0
2313,3,35,6900,6900,0
746,1,23,24890,23890,1
1512,0,25,16750,18434,0
2005,3,63,9990,11160,0
5409,1,23,13000,13000,0
6710,2,35,7990,9111,0
1233,1,42,4990,4990,1
2015,7,26,16889,18184,0
3441,5,57,8800,8737,0
2127,1,27,20390,23768,0
6404,0,24,7800,7800,1
5831,3,38,11480,11480,1
4467,5,36,8154,8622,0
3026,3,19,18900,19677,1
3231,2,27,5990,5530,0
5781,6,53,6000,6000,0
4667,1,43,15110,16384,0
5943,1,30,13070,13423,0
2098,2,26,20500,20500,0
5680,0,20,20000,22677,1
471,0,66,10400,11266,0
3859,0,23,3200,3200,1
3312,8,57,12400,12212,0
4050,0,50,12490,12490,0
6625,1,32,11750,12786,0
4663,2,21,24000,24000,1
1087,2,26,10360,10490,0
5096,4,45,8990,9958,0
4606,1,21,10800,11639,1
5251,7,29,4300,4750,1
1783,5,58,20660,22237,0
5422,6,60,10900,9552,0
553,4,43,4875,5685,0
5366,7,47,7860,6329,0
739,1,62,3776,3974,0
7313,4,52,17490,18741,1
7142,2,26,16850,18312,0
7246,1,22,5823,6279,1
7024,4,69,14320,11941,0
893,0,35,10470,11612,1
3781,1,37,15450,16027,0
1543,2,36,8500,9197,0
6067,0,31,5990,4742,0
3409,1,32,13495,15696,1
5410,2,37,11000,11000,0
1548,5,51,14800,14300,0
5306,0,50,7551,8125,0
2229,1,60,8990,9650,1
5039,1,18,21990,23346,1
4669,3,53,12599,14498,1
6983,1,27,9980,9730,1
6961,3,38,15190,15732,1
396,0,31,15869,15869,0
497,0,26,16324,16423,0
4315,3,23,22422,22672,0
1839,1,21,21690,25931,1
5862,8,71,15980,18274,1
4210,3,23,14990,16451,0
2031,6,64,3477,3592,0
256,7,32,15680,17430,0
3550,0,63,11300,11300,0
724,2,65,4000,3569,0
5662,1,38,7990,8816,1
2142,1,22,14000,11756,0
2835,3,42,1501,1501,0
1420,1,52,3750,2750,0
4640,1,54,15990,18408,0
5810,9,45,8350,9551,1
5360,4,31,12537,13594,0
4195,0,36,14990,14580,0
2543,2,45,9090,6665,0
586,1,28,10990,10990,0
3258,1,37,13890,15313,1
1746,5,42,20990,21895,0
5860,4,45,16325,17570,0
6608,9,42,14990,15975,0
758,6,34,12740,10990,0
4224,2,68,10408,10408,0
5484,7,57,20550,22207,0
842,0,28,9500,10453,1
2101,5,43,26990,26990,1
5382,2,49,8298,5701,0
181,4,52,3927,4349,0
2499,3,46,13499,12137,0
1328,0,18,10990,11955,1
6060,1,25,10900,12291,1
457,0,63,19615,22096,0
5840,4,37,17000,17000,1
1372,2,54,17021,16224,0
4204,4,52,11990,11870,0
6945,1,19,4400,4802,0
3882,3,31,11370,12402,1
2907,2,46,12980,13718,0
1047,0,50,7990,5827,0
2917,1,51,14519,15594,0
776,1,39,6900,7498,0
2215,3,20,24377,24016,1
6809,9,35,9600,11361,0
3606,0,26,14490,13055,0
2579,4,20,8566,8675,0
1615,0,60,6637,7113,0
2364,7,27,25000,24679,0
6687,1,29,8626,8626,1
7107,1,46,16410,17678,1
5452,5,65,3990,4710,1
1822,0,43,18950,18950,0
5833,0,63,14990,13990,0
29,2,29,8200,7352,0
4483,7,55,15100,15100,0
3715,6,33,13659,14449,1
2794,2,40,10900,8900,0
527,0,46,8990,8938,1
2968,8,71,20540,20540,0
4051,6,33,15079,15769,1
3836,4,44,12480,11071,0
1945,2,20,7990,7955,0
5812,1,21,21990,21990,0
7132,1,46,7490,7122,0
6885,1,24,3800,2800,0
3053,1,27,14790,17249,0
1253,5,38,11990,11941,0
3204,2,58,9290,7937,0
3355,7,29,5205,5602,0
1606,5,42,7430,8596,0
3997,9,51,4990,4990,1
2751,3,38,11834,12450,0
3626,7,49,16388,16388,0
5515,0,51,18710,19700,0
3100,0,33,10950,9715,0
3002,9,54,5812,5975,0
5972,5,31,9900,7900,0
5165,1,20,8700,9319,0
4025,3,52,13490,14424,1
2764,7,56,2373,2373,0
6869,4,39,12500,12500,0
6193,4,51,3810,4211,0
3055,0,18,6690,7605,1
2350,0,34,5900,4206,1
219,0,19,13000,11615,0
6451,4,23,12035,13167,1
5880,3,32,9650,7850,0
4140,3,32,10900,10900,0
7106,0,27,11990,12088,1
6156,1,25,9385,7867,0
6112,1,49,9990,6929,0
6246,4,30,7990,8122,0
4236,0,21,8900,8965,1
6459,1,33,17690,16150,0
3875,0,24,12890,13704,0
859,3,50,13450,15228,1
1379,2,19,16500,15000,1
2197,3,35,13500,11504,0
2954,0,32,4045,4468,0
6355,0,50,12990,14089,0
5635,1,23,5666,5666,1
6371,2,24,23900,23900,0
6606,4,68,4342,3342,0
1632,5,36,6900,7831,0
3038,3,44,18500,18500,0
4237,9,52,6990,6441,0
5303,2,60,18000,19422,1
6476,0,49,14900,16223,1
3742,2,38,8500,9217,1
5079,0,40,13040,11168,0
3125,0,27,14890,14890,0
233,0,27,3546,3809,1
4038,2,63,13990,13990,1
7364,9,46,5712,5712,1
6248,4,41,9150,10313,0
220,1,26,12490,13112,0
6927,4,55,9490,10621,0
1405,7,41,15785,17151,0
3964,1,42,9576,10514,0
6989,6,33,15340,16330,0
1919,6,28,4600,4985,0
5841,2,19,11853,11853,0
4003,1,35,21080,21080,0
1088,0,42,22000,24804,1
7189,9,45,8461,9301,0
2554,1,43,11602,10317,0
3269,0,24,10500,10500,0
1293,1,23,3490,3316,0
4154,0,31,17303,17303,1
2561,3,47,22000,20355,0
1188,7,50,13500,13677,0
438,4,38,20590,21810,0
6162,1,24,7900,8969,1
2380,0,49,8905,9488,0
3954,2,30,9246,9725,0
4094,0,27,13550,14796,0
6888,3,50,10000,9799,0
4411,0,48,15000,15000,0
2991,2,49,19179,22929,0
4335,0,23,12950,13781,1
1115,3,31,17205,18000,0
3206,4,57,9000,9000,0
1419,1,34,12890,14338,1
5388,6,40,10430,10430,0
1030,0,18,9900,9900,1
76,0,34,16700,14886,0
4370,1,24,7990,8556,1
6538,1,28,2950,1900,0
2260,0,55,8180,8180,0
4838,2,20,21990,24215,1
1897,8,73,12650,12650,1
2217,5,64,5000,5135,0
4959,5,34,17900,17397,0
378,0,56,5648,5648,0
5444,1,32,9990,9990,0
596,2,21,13660,14966,0
6666,1,21,11750,12767,1
549,1,29,5850,6090,0
4672,0,22,3895,4312,1
3552,7,52,19500,20954,0
5610,5,50,6200,6200,0
4941,0,29,10990,9890,0
1406,1,18,10990,11822,1
5584,0,20,11313,8490,0
6289,1,34,4900,5424,0
6434,1,26,5151,3744,0
2857,0,23,11950,11950,0
6179,8,26,7970,8709,0
1643,2,23,5550,5537,0
6091,0,29,11800,13266,1
6122,4,52,18100,18100,0
5114,0,32,7165,6685,1
5814,0,47,15990,13990,0
5939,0,20,10120,11001,0
3418,4,22,7995,8505,1
1068,7,50,13600,15494,0
2121,6,38,13500,14647,0
5863,9,74,12500,12817,0
7064,6,42,14600,13100,0
1815,0,53,4243,4243,0
2518,0,64,8248,7698,0
3119,0,32,29990,29990,1
1630,4,36,9680,10724,0
2715,1,24,13490,15007,1
6318,1,23,3888,4216,0
3992,0,27,9750,9251,0
2598,1,18,11690,11690,1
1541,1,26,14686,14782,0
3985,2,22,10900,11061,0
259,0,26,5019,5548,1
6520,4,67,8575,7662,0
7058,8,39,12990,14585,1
1620,4,21,8890,9714,1
6971,3,42,5990,5647,0
3721,0,56,13300,14970,1
5974,4,29,10585,11878,1
6871,8,52,10125,10887,0
1891,3,19,27290,26911,1
6094,5,31,9080,9080,0
1121,2,45,19209,21002,0
5887,0,42,16950,17639,0
86,2,66,9500,11524,1
5076,0,28,14420,14420,0
5412,5,31,8950,9481,0
3620,6,34,6190,6720,1
2107,0,23,10990,11941,1
5771,3,68,7069,6856,0
5889,1,38,2500,2132,1
2985,5,55,4400,4940,0
5576,0,29,23000,25306,0
3861,0,45,13500,12198,0
3688,6,51,10205,10205,0
2728,0,29,10980,13133,1
6680,1,21,22995,22995,1
3337,1,40,4680,3950,0
4365,1,43,7669,7955,0
4965,9,31,6795,7429,0
4708,5,27,15150,13766,0
1961,0,22,5990,7196,1
257,4,35,12490,13838,0
7030,1,22,9990,11087,0
3589,6,34,13659,17476,1
3458,4,57,15655,19299,0
449,1,53,10990,11556,0
2153,1,42,13990,15227,0
4825,1,51,6300,7200,0
3780,6,23,7340,8064,0
6128,5,53,4250,4745,0
1263,3,20,6960,7729,1
1916,6,24,13500,13500,0
1464,0,43,10990,12154,1
4970,1,28,14351,14351,1
6804,4,34,12790,12790,0
4607,4,34,10360,9990,0
2467,1,44,7990,6490,0
2112,2,47,14000,13200,0
3891,0,30,19590,21705,0
1055,3,58,5628,4243,1
4950,7,50,6269,6877,0
2451,9,52,6850,6850,0
848,2,66,5990,6704,0
3908,0,22,10333,11181,1
437,4,27,8990,9621,1
3966,4,21,14950,17447,0
6570,2,32,17780,16298,0
5724,8,37,6990,4822,0
6416,2,50,5543,6214,0
1309,1,26,18980,22948,1
228,4,50,17460,18490,0
6980,7,44,19400,21018,1
6136,6,45,9000,10055,0
926,3,59,7500,7850,0
112,8,30,11375,11375,0
5935,3,43,23779,21912,0
3305,2,41,10800,9767,0
7074,0,32,7390,7390,1
2034,7,61,12000,11000,0
4392,2,35,11770,12230,0
1005,5,32,8450,8184,1
4162,0,21,7090,6579,0
3779,6,38,16490,14490,0
4320,0,43,15990,15572,0
5273,6,31,4795,3646,0
5071,3,46,7800,6800,0
6230,1,27,11984,10318,1
509,0,21,13590,14830,1
3555,4,21,15900,17674,0
1416,2,32,13990,13048,0
6881,1,31,19286,19286,0
1544,1,26,5675,5675,1
994,4,62,9300,6869,0
5707,1,23,28400,26448,0
2629,0,44,10950,11080,0
1437,2,22,12990,13182,0
2804,0,20,12300,11944,0
7048,3,27,12890,17259,0
7267,2,25,19303,17573,0
2977,3,29,24900,26833,0
3326,7,27,19181,17681,0
5141,0,52,12129,11562,0
3909,0,39,20900,19697,1
175,4,26,11650,12917,1
4536,6,59,9400,10000,0
2505,3,61,24990,24990,0
757,1,26,16790,18823,1
4671,2,34,13980,14555,0
324,2,38,11480,12522,1
1210,0,18,10078,11118,1
6790,2,59,5349,3533,0
4385,4,21,10900,10081,1
5492,7,41,3500,3000,0
3315,1,49,11990,12159,0
4651,1,46,13410,12500,0
7250,2,56,4650,4906,0
856,4,21,9985,10114,0
205,1,37,18490,20058,1
7284,2,20,16877,17016,1
1962,0,19,6780,5479,0
6232,1,23,4184,4008,0
2131,1,27,3700,1600,0
3127,7,28,16871,16818,0
7001,1,25,11000,7896,0
3126,0,36,12717,12717,0
2254,1,23,11990,12939,0
655,4,55,5550,6109,0
2209,1,29,14400,11216,1
5824,1,18,24990,24990,1
4705,0,22,8900,9826,1
7338,2,26,13990,11990,1
3139,5,43,5980,5980,0
745,4,31,13990,12990,1
5385,0,22,10900,11843,1
2167,3,26,8490,8490,0
5668,1,20,15334,15334,0
6510,0,22,11485,12463,0
1272,8,25,7652,8252,1
7145,1,25,12900,12400,1
551,0,19,8999,9323,1
1057,5,64,5199,5875,1
6633,4,42,12990,14077,0
5212,0,21,11950,10333,0
6250,2,22,19085,19674,0
7050,0,25,14900,14273,0
2357,0,21,5000,5000,0
4928,2,34,8700,10362,1
4091,5,29,5500,5500,0
6053,2,48,12000,13957,0
2763,6,53,9850,9850,0
169,2,24,7560,6592,0
4316,2,67,13000,11000,0
2077,2,33,16139,18458,1
602,7,46,3900,3900,0
6194,2,32,12000,9000,0
5238,4,42,10050,8222,0
1756,2,38,10990,7990,0
5559,4,49,7800,7876,0
1654,5,42,13670,13670,0
5304,2,54,12900,10832,0
5103,1,25,15900,15300,0
371,2,22,26480,29039,1
2495,1,30,15100,16384,0
1879,0,21,20600,19609,0
2874,3,28,8100,4531,0
650,4,40,12990,10901,0
883,2,19,12700,10700,0
3979,1,24,14050,15462,1
3819,1,34,3936,4357,0
2623,8,28,4800,3800,0
1902,0,53,9030,10277,0
2580,1,27,9900,10779,1
1552,1,33,8450,7595,1
5963,6,55,5990,6695,0
4812,1,65,5800,4300,0
2864,0,20,22990,25703,1
6348,1,43,19000,19000,0
3154,2,35,5990,5030,0
4994,6,32,8500,9941,0
7167,6,34,7190,7951,0
1142,5,35,10105,11339,1
6768,1,33,5490,5530,1
3945,2,28,18390,15890,0
4423,1,33,4990,5427,1
1769,0,30,29790,29790,1
1872,4,55,11343,10343,1
4738,0,64,4500,4816,1
3410,2,24,12490,13009,0
3934,0,32,12490,12490,1
4685,2,20,27490,26490,0
6704,3,26,13430,10089,0
2019,0,28,8240,5240,0
5488,0,28,10900,10900,0
4563,6,24,12200,12200,0
4317,4,23,7701,7701,0
3927,1,49,13750,13012,0
2486,0,20,10890,10890,1
1278,2,46,8690,9057,0
1244,0,36,15990,18984,1
6836,0,27,18400,20469,1
4368,9,68,4126,4126,0
6591,2,26,21000,21000,0
3607,0,22,25500,25500,1
1657,4,22,9490,10270,1
3961,1,50,15990,15990,0
4827,6,23,6640,6640,0
4952,7,47,18490,21146,1
6171,3,36,2897,3140,0
1915,0,30,8700,9506,0
1978,3,21,23000,21250,1
6973,3,23,17950,17950,1
1677,0,43,11990,11990,0
2420,1,54,20168,20168,0
3008,6,57,7790,7790,0
6593,8,25,6990,6344,0
1618,0,43,12600,14708,1
1534,0,25,14500,16540,0
680,1,46,13500,14957,1
6204,1,46,6409,7476,0
5148,1,36,8950,8838,0
3383,2,26,14950,14950,1
5586,7,27,12400,12008,0
5693,1,33,7750,5878,0
6991,4,41,3900,2900,0
2929,2,21,27000,29425,1
4359,5,67,6712,7226,0
1071,1,24,11590,8736,0
6537,3,26,7990,9456,0
5852,10,74,4430,4555,0
6764,4,57,7800,7800,0
5296,5,44,6500,7231,0
289,3,27,13590,13700,1
1271,3,36,13500,10486,0
6731,2,44,9500,10230,0
1385,3,25,11290,12337,1
1617,0,33,14950,14950,0
5152,3,40,12980,14444,0
6411,1,25,6190,5757,1
5030,1,31,20250,18250,0
2463,0,63,8450,6148,0
2949,1,54,8800,10414,1
1559,1,31,15000,14000,0
1413,6,55,11700,12393,0
5458,4,53,11000,12033,1
7138,0,24,10548,12423,0
3821,2,63,13510,16775,1
2951,4,28,11090,13090,0
3800,0,38,25390,25390,0
5137,5,30,15800,15822,1
6443,3,31,14300,15181,0
4523,1,52,11990,11432,0
4100,1,39,1600,1600,0
6224,4,54,9586,9586,0
2523,1,29,2239,2239,0
2680,2,25,6250,3250,0
2366,1,31,22950,25108,1
2926,2,44,5641,5851,0
5106,1,19,15950,16449,1
4024,0,36,18900,18900,1
6539,1,38,8000,8710,1
446,4,51,25290,24155,0
2488,2,45,11990,13101,1
6455,0,48,19990,19610,0
1101,3,23,21942,21942,0
5404,3,25,18000,19599,1
3286,1,24,11400,8400,0
6063,5,61,10561,10542,0
1061,1,52,10990,11917,0
5270,2,52,17800,18934,1
3412,6,36,7999,9355,1
6312,2,44,12990,12990,1
4198,1,25,20000,20000,1
17,3,22,9078,9909,0
2615,0,41,14500,16911,1
2465,1,22,4795,5299,0
4674,2,18,20890,23055,0
5377,8,32,7940,9463,0
4081,0,20,21600,21612,0
4709,6,39,9500,10546,0
6272,1,42,7310,8189,1
4420,3,50,10990,10301,0
4215,7,44,6200,6315,0
3937,0,30,10900,8900,0
389,5,29,12990,12026,1
1152,1,24,11690,14164,0
5419,4,53,11480,15292,0
5659,4,37,9900,10172,0
85,0,33,8900,7400,0
6722,4,32,22777,25107,1
4845,3,23,18500,19211,0
620,4,52,4781,4781,1
5362,3,22,18990,17490,1
5910,9,34,7990,9489,0
4660,0,25,9281,9281,1
3871,4,59,11420,11420,0
7186,2,49,19990,19990,1
4743,6,27,9699,8899,0
6822,7,32,5750,6248,0
3078,3,48,19250,19250,0
2944,0,20,10990,11075,1
4394,2,35,9780,11655,1
6552,3,37,8650,7165,1
5155,1,29,14990,12768,0
5159,2,49,5698,5698,0
393,8,69,8021,8021,0
5962,3,37,3924,3924,0
5845,7,29,7500,8189,1
2124,0,54,16937,18330,0
4030,1,23,8990,10088,1
1103,4,28,6560,7140,0
1995,0,48,8595,8595,0
2483,4,42,9990,10850,1
2413,0,30,12990,14130,0
7287,0,23,20990,20895,0
3479,1,46,10000,10866,1
4745,2,68,1600,1675,0
1665,1,66,7896,7896,0
4099,1,47,6100,6572,1
4305,1,64,13994,14626,1
1415,2,51,6789,6533,0
3617,8,58,6373,6373,0
3796,2,27,10500,8728,0
2154,2,44,10900,10051,0
3901,0,22,9990,9849,0
5164,0,27,6950,7552,0
7255,1,36,23490,25708,0
4977,6,65,12900,12900,1
3316,4,48,8200,9150,0
5737,0,39,19500,18361,1
1694,2,58,6069,6546,0
229,4,33,8970,10433,0
4808,0,43,7600,7600,0
5912,2,23,18900,22048,1
1745,7,58,7731,7731,0
4865,8,57,5069,3140,0
6249,6,25,7671,5504,0
1193,2,55,7990,6508,0
495,3,46,14000,12832,0
2264,1,47,8100,8100,0
662,5,54,6731,6731,0
4898,4,33,10000,10892,1
4347,0,26,5990,6721,1
5046,0,37,9945,9945,1
2694,2,34,16800,15800,0
1782,8,62,6400,7159,0
3393,6,66,2700,2700,0
684,5,34,13174,13174,0
3682,0,23,7749,8671,1
4019,0,37,16500,18798,1
7377,3,48,4600,2764,0
3989,6,66,9085,9735,0
2176,1,28,11000,11000,1
4746,5,38,18700,16566,0
6103,3,65,5101,5271,0
49,0,30,7480,7978,1
2053,5,35,14351,14182,0
1123,2,23,7995,7995,0
6548,2,54,4888,4888,0
1878,4,58,15800,13800,0
6951,2,29,15730,14620,0
534,4,68,6600,8186,1
4593,1,23,15000,15000,0
144,4,45,3490,3490,0
1407,1,21,15000,14428,0
2569,3,41,21990,20279,0
5558,2,40,6990,7628,0
6337,5,52,10990,10990,0
3208,9,69,13300,12300,0
2042,0,29,5190,5606,0
307,6,69,5850,6292,0
6220,2,32,6500,5988,0
6504,1,45,18900,21025,0
6950,0,28,13490,13490,0
402,5,64,12900,14510,0
1220,0,25,10750,10750,0
1410,1,21,9190,10723,0
4299,0,20,27980,27980,0
106,6,28,20400,18900,0
1642,1,45,18990,20912,0
7291,9,61,10930,10930,0
6507,5,32,13800,13800,1
2996,7,47,7500,6551,1
818,0,25,7950,7950,0
349,1,29,16800,14000,0
2722,0,29,14080,14890,0
6671,1,55,7860,5990,0
811,1,30,8490,7490,1
5679,9,48,15340,15450,1
5899,2,55,5900,5707,0
7299,4,45,16660,19447,1
567,4,47,6594,7532,1
6033,5,53,9980,8680,0
1789,2,48,5602,5969,0
109,2,23,17990,19713,1
4039,0,25,13500,13500,0
1231,8,35,5800,5800,0
577,2,25,27839,27954,1
1042,5,49,11999,11999,0
3728,8,34,5630,6081,0
1754,0,33,9890,10934,1
6996,4,29,15980,13608,0
731,7,30,7450,8022,0
239,5,29,4467,4817,0
1705,0,20,26000,28504,1
3116,7,46,5327,3327,0
1780,5,22,15370,17099,1
6199,0,37,7475,7475,0
6818,2,56,5000,5174,0
1503,7,60,13990,13990,0
5324,9,51,3500,3338,0
493,1,41,9990,9990,0
1170,4,63,13230,13230,0
6531,0,35,14320,12820,0
82,4,37,28854,29000,1
2276,5,37,25000,25000,0
873,4,58,9780,10755,0
1513,3,20,11900,13073,0
