,Job tenure,Age,Car price,Funding amount,Default (y)
2685,1,30,15900,15230,0
3366,2,37,13402,11146,0
4053,0,34,4100,4100,0
4434,8,24,13990,15958,1
589,0,59,20500,21582,0
2303,1,21,13890,16162,0
5780,0,32,4500,4500,0
5629,6,50,5100,5100,0
7092,3,48,9841,10901,0
6638,3,31,10990,9490,0
678,3,54,4790,2240,0
5798,1,44,16990,16990,0
2288,2,35,14420,13247,0
32,4,53,14900,13500,0
5054,3,25,14990,12510,0
96,5,41,12968,12968,0
6244,2,45,5900,4296,1
4552,2,28,7529,8164,0
1979,0,20,11365,12225,1
7290,8,39,12510,13200,0
339,0,21,8684,9259,1
6321,0,39,21490,19290,0
1116,2,28,7990,5490,0
6473,7,51,3981,3981,0
5964,4,51,8750,10469,0
4357,9,58,13990,14950,0
5970,0,32,13600,15329,1
7428,6,32,12300,11300,0
4985,1,56,7900,8540,0
2726,0,50,14985,16559,0
743,6,40,6999,7989,0
626,5,21,18800,20539,0
5995,2,45,4500,4500,0
3313,7,43,7380,6677,0
2916,7,58,10550,11158,0
1234,1,39,17990,20426,1
7378,8,56,3490,3490,0
2687,0,24,26490,29023,1
6912,4,27,17590,15719,0
4165,7,43,8950,7604,0
2957,8,53,7250,5750,0
5121,4,39,10400,11432,1
194,2,29,15000,14724,0
6922,2,67,14400,13400,0
841,1,26,13064,14525,0
3089,2,35,11200,12433,0
2572,0,27,16140,12940,0
3260,2,61,9950,10100,0
4209,0,26,6700,3433,0
387,5,54,5900,6329,1
3181,1,56,8190,6040,0
4122,1,48,11440,10181,0
6984,5,34,8250,8635,0
6652,4,47,7990,6105,0
6870,2,34,25877,25877,1
3770,5,22,8234,8383,0
3296,2,52,11990,11990,0
5538,3,30,9790,9790,0
3021,3,29,13830,10866,0
142,0,38,24880,27364,1
4545,0,40,3990,2213,1
5168,7,55,13750,14551,1
4899,3,33,9018,9018,0
3475,0,29,13116,10175,0
6048,1,22,10900,11934,0
6942,1,36,15990,18850,0
4731,2,31,14115,13275,0
4087,1,26,15300,17038,0
4698,2,28,15890,15890,0
747,1,22,25658,25772,1
7310,1,55,2681,2748,0
6134,2,25,8990,9748,0
6751,1,40,14500,16131,0
2377,2,25,5660,4090,0
4180,7,30,9070,9638,0
6995,3,35,11990,13005,1
5598,1,28,7500,6193,0
6789,0,33,4500,4731,0
5636,1,31,12950,11435,0
2559,1,25,20990,23877,1
7222,2,39,12990,12499,0
7258,2,25,27750,26449,1
6159,2,68,5990,4490,0
5928,6,68,2948,3088,0
1703,3,51,8400,9127,1
7252,5,43,9990,9990,0
2619,1,35,12849,12165,0
3196,5,29,10220,7905,0
