,Benchmark,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Married_yes
153,0.6077646049961418,0.2569331050674751,0.3260305603768906,0.12466793264510849,-0.006940555458120955,0.05622047982195677,-0.010764894733623704
266,0.32993091878654723,0.07468266963539956,0.04756717026939663,0.09596881368950046,0.014742122408826388,0.17362880473895256,0.007536309525009485
355,0.3546179214495662,0.11597128147391078,0.012511335177199929,0.13393142667169275,-0.0005297378940811164,0.15678298431570983,-0.00143567011854102
161,0.6547416352478558,0.10791689261425214,0.0874119014404871,0.47347421963247627,0.008983655002059509,0.0758324404623914,0.0029017885641292006
541,0.7059705750359369,0.06137809044219872,0.1440566041539413,0.04931940219476561,0.02398297967916464,0.5908112534664898,0.04214715386677791
419,0.3431101110485696,0.12848463254034967,0.035883752403107885,0.02170925400674769,0.015331833007767208,0.1826090327293059,0.0024539209717661034
192,0.65830672249179,0.3953844577963509,0.15404255928562247,0.1235584838026658,0.01002062422682243,0.09348572952007743,0.004624655702917127
333,0.28807411293185153,0.08089549747778656,0.047713670820070414,0.10576325934347856,0.04943276656607381,0.16677678461634612,0.025362162901321542
470,0.33366444865878114,0.0518855997976047,0.120827974427773,0.04077417790356914,0.014512243839274493,0.1701032286482053,0.007704854664465332
114,0.33137621020857205,0.033181146295097955,0.009696523834194353,0.16073469419296213,0.013310773852841474,0.18424728711705676,0.004663860548846004
280,0.7295205940963905,0.04188343355662663,0.0085530526610744,-0.03677898781529372,-0.0027591350020863487,0.7411830842366198,-0.00032586009594300265
558,0.3390353716901729,0.09839846839455253,0.03519003871851257,0.09114976746717617,0.015456876937353535,0.16760019137508525,0.008878379386322988
324,0.3105363702984295,0.19349395266826463,0.042607444376576105,-0.025168406547070785,0.012547742976809896,0.1792481295907679,0.015367321057911743
584,0.6683154727753939,0.06653098892134471,0.02752151625781059,0.07668473323401692,0.021052725079073298,0.6878067217474805,0.029830167211292752
338,0.8695095637979137,0.1809634539439865,0.06803876907787158,0.11778843343231322,0.0027202787370050794,0.40424373663213475,0.007929311331918086
218,0.7688538818441408,0.17845132837021405,0.07289903603536396,0.04414695378977066,0.022782492438735428,0.5268929073960962,0.013810034021490747
400,0.7075460292625011,0.0767244630511021,0.07424503688069349,-0.05224314715252321,0.01926753756441612,0.6952628198796246,0.006931009382620458
54,0.8273731655095241,0.06292624298050574,0.03434757760669579,0.13610443347800674,0.009166701944728413,0.5233615566226332,-0.0059797700475145085
