,ID,Job tenure,Age,Car price,Default (y)
4001,4002,8,73,12750,0
711,712,10,46,6800,0
1430,1431,28,46,17100,0
1623,1624,30,47,8469,0
6518,6519,34,55,24190,0
5856,5857,28,55,17945,0
5286,5287,24,51,6749,0
789,790,9,48,7990,0
496,497,1,48,13000,0
1565,1566,25,52,8590,1
2699,2700,9,57,15000,0
2344,2345,0,65,8999,0
6492,6493,31,53,19480,0
3077,3078,9,61,7700,0
3871,3872,4,59,11420,0
3078,3079,3,48,19250,0
3194,3195,16,33,13490,0
3886,3887,1,52,16800,0
1142,1143,5,35,10105,1
2576,2577,34,51,9500,0
2249,2250,5,50,9900,0
393,394,8,69,8021,0
2155,2156,13,60,8990,0
1883,1884,22,50,10450,0
4418,4419,10,74,13990,0
6020,6021,1,54,33485,0
5681,5682,34,51,9460,0
4084,4085,29,46,16809,0
93,94,9,34,19990,0
2110,2111,0,53,12480,1
2707,2708,3,61,15700,0
996,997,37,57,15790,1
1429,1430,18,49,20990,0
351,352,14,31,8950,0
601,602,16,79,10489,0
2310,2311,25,42,15980,0
4220,4221,31,59,16400,0
4679,4680,15,54,7790,0
3308,3309,38,57,11110,0
997,998,5,44,22229,0
2268,2269,17,50,4812,0
5329,5330,36,61,15947,0
3824,3825,15,54,6590,0
2191,2192,32,51,4200,0
1480,1481,26,56,9000,0
2184,2185,0,49,28975,0
5413,5414,10,46,34960,0
1002,1003,24,53,25530,0
1867,1868,14,39,17090,0
1024,1025,4,26,20990,0
1277,1278,30,56,11050,0
573,574,17,74,24990,0
733,734,8,82,25990,0
1193,1194,2,55,7990,0
6368,6369,24,83,9850,0
2732,2733,22,57,2700,0
7289,7290,4,64,35200,0
2802,2803,9,67,9485,0
1665,1666,1,66,7896,0
2166,2167,9,52,20204,0
3989,3990,6,66,9085,0
4791,4792,26,52,9950,0
4925,4926,42,59,16110,0
4253,4254,23,50,8650,0
858,859,1,30,20600,1
6691,6692,12,77,10000,0
179,180,1,20,16790,1
1670,1671,7,59,16990,0
87,88,8,47,9950,0
23,24,3,26,14140,0
1074,1075,11,28,9970,0
1869,1870,19,51,18990,0
3404,3405,7,59,24585,0
4239,4240,10,74,8999,0
534,535,4,68,6600,1
4129,4130,24,51,4100,0
1056,1057,26,50,12850,0
1321,1322,8,51,9540,0
544,545,0,41,8490,0
101,102,1,40,15990,1
2569,2570,3,41,21990,0
3540,3541,16,80,22450,0
3032,3033,18,45,9276,1
1163,1164,38,55,18939,0
3071,3072,16,79,12950,0
1807,1808,0,48,7900,0
3208,3209,9,69,13300,0
476,477,12,76,11770,0
5018,5019,23,51,24900,1
4712,4713,4,68,15590,1
3185,3186,30,47,20190,0
3128,3129,6,35,17700,0
1820,1821,1,56,10639,0
1718,1719,3,37,19400,0
3121,3122,17,45,13794,1
2796,2797,0,55,10400,0
199,200,5,50,10338,0
